home,visitor,game_date,Schedule Type,League
Toronto Maple Leafs,Winnipeg Jets,2021-03-09,Actual,NHL
Washington Capitals,New Jersey Devils,2021-03-09,Actual,NHL
Anaheim Ducks,Los Angeles Kings,2021-03-10,Actual,NHL
Colorado Avalanche,Arizona Coyotes,2021-03-10,Actual,NHL
Edmonton Oilers,Ottawa Senators,2021-03-10,Actual,NHL
Minnesota Wild,Vegas Golden Knights,2021-03-10,Actual,NHL
Vancouver Canucks,Montreal Canadiens,2021-03-10,Actual,NHL
Boston Bruins,New York Rangers,2021-03-11,Actual,NHL
Buffalo Sabres,Pittsburgh Penguins,2021-03-11,Actual,NHL
Carolina Hurricanes,Nashville Predators,2021-03-11,Actual,NHL
Columbus Blue Jackets,Florida Panthers,2021-03-11,Actual,NHL
Calgary Flames,Montreal Canadiens,2021-03-11,Actual,NHL
Dallas Stars,Chicago Blackhawks,2021-03-11,Actual,NHL
Detroit Red Wings,Tampa Bay Lightning,2021-03-11,Actual,NHL
New York Islanders,New Jersey Devils,2021-03-11,Actual,NHL
Philadelphia Flyers,Washington Capitals,2021-03-11,Actual,NHL
Toronto Maple Leafs,Winnipeg Jets,2021-03-11,Actual,NHL
Anaheim Ducks,San Jose Sharks,2021-03-12,Actual,NHL
Colorado Avalanche,Los Angeles Kings,2021-03-12,Actual,NHL
Edmonton Oilers,Ottawa Senators,2021-03-12,Actual,NHL
Minnesota Wild,Arizona Coyotes,2021-03-12,Actual,NHL
St. Louis Blues,Vegas Golden Knights,2021-03-12,Actual,NHL
Anaheim Ducks,San Jose Sharks,2021-03-13,Actual,NHL
Boston Bruins,New York Rangers,2021-03-13,Actual,NHL
Buffalo Sabres,Pittsburgh Penguins,2021-03-13,Actual,NHL
